Score, Title, Reviews Count, Link, Release Date
72.76,72.76,Dick Tracy,36,https://segaretro.org/Dick_Tracy,1991-02-01
61.26,61.26,Dick Vitale's "Awesome, Baby!" College Hoops,5,https://segaretro.org/Dick_Vitale%27s_%22Awesome,_Baby!%22_College_Hoops,1994-09-01
76.09,76.09,Dino Dini's Soccer,16,https://segaretro.org/Dino_Dini%27s_Soccer,1994-12-01
54.04,54.04,Dino Land,18,https://segaretro.org/Dino_Land,1991-08-02
64.39,64.39,Dinosaurs for Hire,14,https://segaretro.org/Dinosaurs_for_Hire,1993-05-01
87.74,87.74,Disney's Aladdin,58,https://segaretro.org/Disney%27s_Aladdin,1993-11-01
80.08,80.08,Divine Sealing,1,https://segaretro.org/Divine_Sealing,1992-05-01
64.82,64.82,DJ Boy,35,https://segaretro.org/DJ_Boy,1990-05-19
77.86,77.86,Donald in Maui Mallard,20,https://segaretro.org/Donald_in_Maui_Mallard,1995-11-01
55.59,55.59,Doom Troopers,10,https://segaretro.org/Doom_Troopers,1995-11-01
63.49,63.49,Doraemon: Yume Dorobou to 7 Nin no Gozans,8,https://segaretro.org/Doraemon:_Yume_Dorobou_to_7_Nin_no_Gozans,1993-03-26
54.79,54.79,Double Clutch,19,https://segaretro.org/Double_Clutch,1993-08-01
56.95,56.95,Double Dragon,22,https://segaretro.org/Double_Dragon,1992-04-01
44.40,44.40,Double Dragon 3: The Rosetta Stone,18,https://segaretro.org/Double_Dragon_3:_The_Rosetta_Stone,1993-02-01
39.93,39.93,Double Dragon II: The Revenge,19,https://segaretro.org/Double_Dragon_II:_The_Revenge,1991-12-20
58.31,58.31,Double Dragon V: The Shadow Falls,8,https://segaretro.org/Double_Dragon_V:_The_Shadow_Falls,1994-08-05
81.04,81.04,Dr. Robotnik's Mean Bean Machine,33,https://segaretro.org/Dr._Robotnik%27s_Mean_Bean_Machine,1993-12-01
74.97,74.97,Dragon Ball Z: Buyuu Retsuden,17,https://segaretro.org/Dragon_Ball_Z:_Buyuu_Retsuden,1994-04-01
